Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature
312;15761;27081;15863;27972;5814;39736;45428;23754;7.39;46.93
313;15780;27188;15933;27951;5797;39737;45475;23776;7.39;46.93
314;15772;27123;15925;27914;5755;39711;45463;23805;7.42;46.93
315;15775;27161;15863;27888;5781;39668;45414;23744;7.38;46.92
316;15802;27092;15858;27900;5821;39725;45374;23759;7.39;46.93
317;15776;27140;15917;27885;5799;39788;45444;23762;7.46;46.92
318;15754;27129;15915;27964;5814;39811;45491;23799;7.39;46.94
319;15806;27110;15920;27930;5779;39812;45429;23766;7.39;46.93
320;15763;27058;15842;27906;5838;39691;45374;23797;7.38;46.92
321;15780;27153;15935;27983;5886;39720;45465;23732;7.38;46.92
322;15786;27184;15857;27933;5811;39722;45473;23724;7.39;46.93
323;15840;27121;15946;27975;5860;39776;45427;23827;7.46;46.91
324;15819;27108;15900;27981;5842;39772;45392;23743;7.46;46.93
325;15805;27147;15889;27980;5762;39752;45462;23895;7.38;46.92
326;15695;27147;15886;27976;5833;39774;45499;23783;7.46;46.92
327;15786;27119;15913;27962;5786;39842;45491;23804;7.46;46.92
328;15763;27155;15909;27938;5819;39782;45400;23784;7.46;46.92
329;15822;27151;15973;27990;5822;39803;45437;23685;7.38;46.92
330;15770;27179;15941;27942;5803;39799;45397;23804;7.46;46.92
331;15812;27146;15967;27897;5779;39804;45398;23790;7.46;46.92
332;15790;27090;15811;27931;5841;39850;45414;23820;7.38;46.92
333;15799;27117;15921;27948;5849;39716;45465;23767;7.46;46.92
334;15714;27179;15869;27921;5810;39835;45372;23790;7.38;46.91
335;15809;27193;15932;27971;5752;39755;45445;23810;7.46;46.93
336;15878;27138;15959;27992;5865;39886;45476;23839;7.39;46.93
337;15821;27177;15893;27918;5822;39767;45496;23768;7.46;46.93
338;15766;27002;15914;27946;5758;39807;45420;23792;7.46;46.92
339;15791;27161;15900;28022;5803;39851;45428;23827;7.38;46.92
340;15806;27111;15908;27972;5813;39810;45478;23823;7.46;46.93
341;15886;27190;15884;27961;5792;39727;45412;23774;7.46;46.91
342;15842;27128;15883;28012;5731;39853;45443;23766;7.46;46.93
343;15797;27160;15951;27982;5802;39757;45430;23841;7.46;46.92
344;15829;27171;15824;27943;5799;39809;45420;23786;7.46;46.93
345;15813;27066;15889;27988;5732;39841;45477;23851;7.46;46.94
346;15806;27144;15903;28001;5869;39812;45511;23875;7.46;46.93
347;15855;27071;15858;27930;5799;39679;45414;23751;7.46;46.93
348;15835;27192;15899;27954;5784;39775;45470;23894;7.46;46.93
349;15804;27132;15880;28024;5837;39824;45424;23807;7.46;46.93
350;15829;27170;15915;28000;5809;39816;45551;23816;7.46;46.93
351;15786;27217;15943;27942;5871;39763;45410;23831;7.46;46.93
352;15776;27048;15879;27961;5874;39817;45414;23834;7.46;46.93
353;15850;27222;15833;27977;5749;39782;45486;23814;7.46;46.93
354;15787;27136;15947;27981;5819;39848;45470;23839;7.46;46.93
355;15865;27201;15912;28015;5843;39801;45494;23829;7.46;46.93
356;15838;27183;15962;27991;5826;39919;45435;23763;7.46;46.93
357;15853;27169;15961;28024;5797;39879;45448;23825;7.46;46.93
358;15908;27153;15957;28007;5775;39838;45526;23843;7.46;46.93
359;15819;27169;15971;28011;5828;39859;45468;23830;7.46;46.93
360;15883;27215;15957;28053;5883;39933;45456;23829;7.46;46.94
361;15875;27208;15979;27922;5824;39779;45362;23773;7.46;46.92
362;15944;27242;15942;28007;5833;39802;45467;23823;7.46;46.94
363;15891;27218;16017;28010;5773;39739;45439;23870;7.46;46.93
364;15874;27233;15943;27993;5861;39809;45481;23806;7.46;46.93
365;15848;27204;15989;27985;5841;39765;45528;23862;7.46;46.93
366;15808;27056;15983;27998;5784;39759;45394;23777;7.46;46.93
