Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature;Indexes
299;14562;27611;15322;26568;6168;45765;45053;29952;9.14;42.19;Air
300;14499;27493;15341;26542;6148;45773;44985;29888;9.11;42.19;Air
301;14475;27392;15357;26611;6063;45731;45010;29888;9.11;42.2;Air
302;14527;27432;15379;26619;6146;45761;45063;29873;9.11;42.19;Air
303;14462;27318;15324;26543;6111;45755;44997;29901;9.11;42.2;Air
304;14486;27500;15367;26598;6067;45752;45020;29849;9.11;42.2;Air
305;14516;27690;15381;26532;6080;45721;44980;29945;9.18;42.21;Air
306;14555;27613;15372;26604;6128;45728;44991;29914;9.11;42.2;Air
307;14420;27651;15343;26536;6181;45726;45084;29913;9.11;42.2;Air
308;14571;27632;15315;26553;6066;45738;45046;29929;9.11;42.2;Air
309;14459;27630;15321;26583;6189;45625;45019;29903;9.11;42.2;Air
310;14500;27559;15336;26596;6096;45771;45000;29900;9.14;42.19;Air
311;14529;27532;15326;26621;6149;45787;44959;29853;9.11;42.2;Air
312;14444;27529;15293;26557;6104;45809;45059;29896;9.11;42.2;Air
313;14514;27445;15308;26506;6127;45729;44998;29952;9.11;42.19;Air
314;14555;27520;15255;26546;6071;45798;44953;29879;9.11;42.2;Air
315;14483;27423;15381;26643;6164;45797;45040;29886;9.11;42.2;Air
316;14411;27346;15357;26596;6163;45704;44999;29865;9.11;42.21;Air
317;14522;27375;15386;26594;6152;45818;44998;29885;9.11;42.2;Air
318;14516;27400;15304;26550;6161;45791;45038;29956;9.11;42.2;Air
319;14529;27404;15322;26576;6124;45700;45050;29979;9.11;42.21;Air
320;14525;27406;15359;26576;6107;45697;45060;29942;9.11;42.2;Air
321;14482;27406;15325;26547;6102;45710;45024;29917;9.11;42.2;Air
322;14494;27400;15326;26507;6115;45708;44984;29894;9.11;42.21;Air
323;14500;27388;15357;26600;6049;45666;45031;29984;9.11;42.2;Air
324;14443;27327;15310;26512;6076;45751;44988;29822;9.11;42.2;Air
325;14490;27394;15341;26644;6091;45730;45049;29954;9.11;42.21;Air
326;14454;27315;15412;26520;6118;45733;45016;29934;9.11;42.21;Air
327;14478;27479;15399;26523;6139;45797;44966;29854;9.11;42.21;Air
328;14446;27384;15370;26507;6094;45669;45033;29911;9.11;42.22;Air
329;14472;27431;15340;26601;6100;45747;45067;29967;9.11;42.2;Air
330;14445;27463;15251;26614;6057;45819;45091;29887;9.11;42.21;Air
331;14491;27473;15355;26638;6061;45766;45027;29907;9.11;42.21;Air
332;14505;27377;15331;26520;6094;45803;45048;29880;9.11;42.21;Air
333;14523;27353;15364;26591;6104;45776;44982;29902;9.11;42.21;Air
334;14489;27394;15323;26587;6100;45712;44963;29922;9.11;42.21;Air
335;14474;27371;15383;26491;6074;45697;45009;29938;9.14;42.2;Air
336;14473;27415;15328;26535;6116;45685;45044;29904;9.11;42.21;Air
337;14495;27425;15342;26559;6105;45646;44988;29866;9.11;42.21;Air
338;14466;27387;15312;26575;6064;45753;45041;29869;9.11;42.22;Air
339;14574;27319;15394;26565;6056;45741;45005;29954;9.11;42.22;Air
340;14469;27379;15345;26559;6071;45681;45010;29920;9.11;42.21;Air
341;14518;27373;15390;26494;6130;45712;45038;29962;9.11;42.2;Air
342;14466;27331;15361;26515;6186;45708;45041;29954;9.11;42.21;Air
343;14531;27356;15374;26528;6087;45725;45028;29853;9.11;42.21;Air
344;14468;27330;15375;26601;6050;45672;45047;29897;9.11;42.22;Air
345;14460;27330;15403;26564;6168;45782;44954;29816;9.11;42.22;Air
346;14484;27368;15326;26436;6188;45707;45001;29840;9.11;42.21;Air
347;14529;27302;15387;26493;6044;45728;45021;29819;9.11;42.21;Air
348;14490;27320;15337;26554;6124;45702;45061;29845;9.14;42.21;Air
349;14491;27431;15331;26605;6050;45676;44998;29909;9.11;42.21;Air
350;14515;27459;15346;26621;6047;45632;44999;29908;9.11;42.22;Air
351;14473;27453;15379;26607;6133;45649;44972;29939;9.11;42.21;Air
352;14436;27405;15306;26577;6035;45655;44923;29977;9.11;42.22;Air
353;14415;27305;15349;26549;6142;45660;44985;29915;9.11;42.21;Air
354;14490;27334;15269;26516;6154;45706;44950;29848;9.11;42.23;Air
355;14465;27369;15374;26552;6204;45742;45063;29885;9.11;42.22;Air
356;14473;27347;15295;26561;6146;45729;44935;29932;9.11;42.21;Air
357;14482;27309;15345;26624;6067;45678;45018;29879;9.11;42.21;Air
358;14493;27381;15348;26478;6187;45690;45022;29915;9.11;42.21;Air
359;14541;27390;15250;26525;6119;45746;45013;29869;9.11;42.21;Air
360;14484;27334;15370;26532;6063;45742;44924;29930;9.11;42.2;Air
361;14466;27314;15416;26617;6180;45613;45070;29921;9.11;42.21;Air
362;14555;27324;15317;26498;6061;45644;44992;29862;9.18;42.22;Air
363;14512;27304;15355;26517;6119;45744;45073;29867;9.11;42.23;Air
364;14509;27342;15242;26525;6167;45670;45064;29830;9.11;42.22;Air
365;14459;27351;15368;26606;6174;45673;45117;29871;9.11;42.21;Air
366;14460;27372;15307;26492;6068;45666;44947;29873;9.11;42.22;Air
367;14469;27233;15266;26559;6148;45680;45002;29907;9.11;42.21;Air
368;14462;27340;15320;26491;6157;45646;44999;29916;9.11;42.22;Air
369;14454;27432;15334;26610;6094;45718;45015;29860;9.11;42.22;Air
370;14483;27398;15325;26577;6110;45583;44940;29940;9.18;42.22;Air
371;14439;27430;15309;26563;6159;45726;45017;29899;9.11;42.22;Air
372;14443;27405;15391;26606;6059;45596;44974;29964;9.11;42.23;Air
